Name,Season,ThreePointers,ThreePointersAttempted,ThreePointersMissed,ThreePointersMadePct
Tim Duncan,2012.0,0,5,5,0.0
Tim Duncan,2013.0,2,8,6,0.25
Tim Duncan,2014.0,0,7,7,0.0
Tim Duncan,2015.0,2,8,6,0.25
Tim Duncan,2016.0,0,2,2,0.0
Tim Frazier,2015.0,5,17,12,0.29411764705882354
Tim Frazier,2016.0,16,48,32,0.3333333333333333
Tim Frazier,2017.0,40,128,88,0.3125
Tim Frazier,2018.0,17,56,39,0.30357142857142855
Tim Frazier,2019.0,40,107,67,0.37383177570093457
Tim Frazier,2020.0,10,30,20,0.3333333333333333
Tim Frazier,2021.0,0,8,8,0.0
Tim Frazier,2022.0,6,17,11,0.35294117647058826
Tim Hardaway,2014.0,130,358,228,0.36312849162011174
Tim Hardaway,2015.0,121,354,233,0.3418079096045198
Tim Hardaway,2016.0,50,156,106,0.32051282051282054
Tim Hardaway,2017.0,160,459,299,0.3485838779956427
Tim Hardaway,2018.0,130,410,280,0.3170731707317073
Tim Hardaway,2019.0,162,477,315,0.33962264150943394
Tim Hardaway,2020.0,223,567,344,0.3932980599647266
Tim Hardaway,2021.0,230,586,356,0.3924914675767918
Tim Hardaway,2022.0,102,304,202,0.3355263157894737
Tim Hardaway,2023.0,212,550,338,0.38545454545454544
Tim Hardaway,2024.0,140,383,243,0.36553524804177545
Tim Quarterman,2017.0,6,13,7,0.46153846153846156
Tim Quarterman,2018.0,0,2,2,0.0
Tim Thomas,2004.0,73,195,122,0.37435897435897436
Tim Thomas,2005.0,85,208,123,0.40865384615384615
Tim Thomas,2006.0,94,219,125,0.4292237442922374
Tim Thomas,2007.0,136,356,220,0.38202247191011235
Tim Thomas,2008.0,83,271,188,0.3062730627306273
Tim Thomas,2009.0,79,193,114,0.40932642487046633
Tim Thomas,2010.0,16,43,27,0.37209302325581395
Timofey Mozgov,2013.0,0,2,2,0.0
Timofey Mozgov,2014.0,4,24,20,0.16666666666666666
Timofey Mozgov,2015.0,2,6,4,0.3333333333333333
Timofey Mozgov,2016.0,1,7,6,0.14285714285714285
Timofey Mozgov,2017.0,0,1,1,0.0
Timofey Mozgov,2018.0,4,18,14,0.2222222222222222
Timothe Luwawu-Cabarrot,2017.0,50,161,111,0.3105590062111801
Timothe Luwawu-Cabarrot,2018.0,53,158,105,0.33544303797468356
Timothe Luwawu-Cabarrot,2019.0,36,116,80,0.3103448275862069
Timothe Luwawu-Cabarrot,2020.0,75,199,124,0.3768844221105528
Timothe Luwawu-Cabarrot,2021.0,77,245,168,0.3142857142857143
Timothe Luwawu-Cabarrot,2022.0,47,127,80,0.3700787401574803
Tobias Harris,2012.0,6,23,17,0.2608695652173913
Tobias Harris,2013.0,34,108,74,0.3148148148148148
Tobias Harris,2014.0,32,126,94,0.25396825396825395
Tobias Harris,2015.0,87,239,152,0.36401673640167365
Tobias Harris,2016.0,84,251,167,0.3346613545816733
Tobias Harris,2017.0,109,314,205,0.3471337579617834
Tobias Harris,2018.0,183,445,262,0.41123595505617977
Tobias Harris,2019.0,178,456,278,0.39035087719298245
Tobias Harris,2020.0,133,372,239,0.3575268817204301
Tobias Harris,2021.0,98,251,153,0.3904382470119522
Tobias Harris,2022.0,123,332,209,0.3704819277108434
Tobias Harris,2023.0,141,365,224,0.3863013698630137
Tobias Harris,2024.0,51,142,91,0.3591549295774648
Tom Gugliotta,2004.0,1,4,3,0.25
Tom Gugliotta,2005.0,8,26,18,0.3076923076923077
Tomas Satoransky,2017.0,9,37,28,0.24324324324324326
Tomas Satoransky,2018.0,47,104,57,0.4519230769230769
Tomas Satoransky,2019.0,64,163,99,0.39263803680981596
Tomas Satoransky,2020.0,64,199,135,0.32160804020100503
Tomas Satoransky,2021.0,42,118,76,0.3559322033898305
Tomas Satoransky,2022.0,11,53,42,0.20754716981132076
Toney Douglas,2010.0,68,175,107,0.38857142857142857
Toney Douglas,2011.0,150,401,251,0.3740648379052369
Toney Douglas,2012.0,27,117,90,0.23076923076923078
Toney Douglas,2013.0,82,216,134,0.37962962962962965
Toney Douglas,2014.0,34,108,74,0.3148148148148148
Toney Douglas,2015.0,5,18,13,0.2777777777777778
Toney Douglas,2016.0,81,203,122,0.39901477832512317
Toney Douglas,2017.0,7,39,32,0.1794871794871795
Toni Kukoc,2004.0,53,180,127,0.29444444444444445
Toni Kukoc,2005.0,42,116,74,0.3620689655172414
Toni Kukoc,2006.0,50,155,105,0.3225806451612903
Tony Allen,2005.0,12,31,19,0.3870967741935484
Tony Allen,2006.0,11,34,23,0.3235294117647059
Tony Allen,2007.0,8,33,25,0.24242424242424243
Tony Allen,2008.0,18,58,40,0.3103448275862069
Tony Allen,2009.0,6,27,21,0.2222222222222222
Tony Allen,2010.0,0,10,10,0.0
Tony Allen,2011.0,5,30,25,0.16666666666666666
Tony Allen,2012.0,8,31,23,0.25806451612903225
Tony Allen,2013.0,5,32,27,0.15625
Tony Allen,2014.0,11,54,43,0.2037037037037037
Tony Allen,2015.0,11,36,25,0.3055555555555556
Tony Allen,2016.0,16,49,33,0.32653061224489793
Tony Allen,2017.0,15,53,38,0.2830188679245283
Tony Allen,2018.0,4,12,8,0.3333333333333333
Tony Battie,2004.0,2,9,7,0.2222222222222222
Tony Battie,2005.0,0,6,6,0.0
Tony Battie,2006.0,0,6,6,0.0
Tony Battie,2007.0,0,1,1,0.0
Tony Battie,2009.0,2,9,7,0.2222222222222222
Tony Battie,2010.0,1,4,3,0.25
Tony Battie,2011.0,2,3,1,0.6666666666666666
Tony Battie,2012.0,0,1,1,0.0
