Name,Season,ThreePointers,ThreePointersAttempted,ThreePointersMissed,ThreePointersMadePct
A.J. Hammons,2017.0,5,10,5,0.5
A.J. Lawson,2023.0,10,25,15,0.4
A.J. Lawson,2024.0,12,36,24,0.3333333333333333
A.J. Price,2010.0,60,174,114,0.3448275862068966
A.J. Price,2011.0,48,165,117,0.2909090909090909
A.J. Price,2012.0,26,88,62,0.29545454545454547
A.J. Price,2013.0,70,200,130,0.35
A.J. Price,2014.0,6,22,16,0.2727272727272727
A.J. Price,2015.0,15,57,42,0.2631578947368421
AJ Green,2023.0,44,105,61,0.41904761904761906
AJ Green,2024.0,24,61,37,0.39344262295081966
AJ Griffin,2023.0,101,259,158,0.38996138996138996
AJ Griffin,2024.0,9,33,24,0.2727272727272727
Aaron Brooks,2008.0,36,119,83,0.3025210084033613
Aaron Brooks,2009.0,140,373,233,0.3753351206434316
Aaron Brooks,2010.0,209,525,316,0.3980952380952381
Aaron Brooks,2011.0,70,236,166,0.2966101694915254
Aaron Brooks,2013.0,51,143,92,0.35664335664335667
Aaron Brooks,2014.0,96,248,152,0.3870967741935484
Aaron Brooks,2015.0,129,339,210,0.3805309734513274
Aaron Brooks,2016.0,66,185,119,0.3567567567567568
Aaron Brooks,2017.0,49,130,81,0.3769230769230769
Aaron Brooks,2018.0,11,32,21,0.34375
Aaron Gordon,2015.0,13,48,35,0.2708333333333333
Aaron Gordon,2016.0,42,142,100,0.29577464788732394
Aaron Gordon,2017.0,77,266,189,0.2894736842105263
Aaron Gordon,2018.0,115,342,227,0.3362573099415205
Aaron Gordon,2019.0,129,367,238,0.35149863760217986
Aaron Gordon,2020.0,73,237,164,0.3080168776371308
Aaron Gordon,2021.0,68,199,131,0.3417085427135678
Aaron Gordon,2022.0,90,275,185,0.32727272727272727
Aaron Gordon,2023.0,78,219,141,0.3561643835616438
Aaron Gordon,2024.0,22,75,53,0.29333333333333333
Aaron Gray,2008.0,0,1,1,0.0
Aaron Gray,2009.0,0,1,1,0.0
Aaron Gray,2014.0,0,1,1,0.0
Aaron Harrison,2016.0,3,10,7,0.3
Aaron Harrison,2017.0,0,2,2,0.0
Aaron Harrison,2018.0,9,43,34,0.20930232558139536
Aaron Henry,2022.0,0,1,1,0.0
Aaron Holiday,2019.0,44,129,85,0.34108527131782945
Aaron Holiday,2020.0,91,230,139,0.39565217391304347
Aaron Holiday,2021.0,65,179,114,0.36312849162011174
Aaron Holiday,2022.0,44,110,66,0.4
Aaron Holiday,2023.0,36,88,52,0.4090909090909091
Aaron Holiday,2024.0,50,123,73,0.4065040650406504
Aaron Jackson,2018.0,1,6,5,0.16666666666666666
Aaron McKie,2004.0,73,170,97,0.4294117647058823
Aaron McKie,2005.0,21,65,44,0.3230769230769231
Aaron McKie,2006.0,0,2,2,0.0
Aaron Nesmith,2021.0,45,125,80,0.36
Aaron Nesmith,2022.0,32,126,94,0.25396825396825395
Aaron Nesmith,2023.0,115,314,199,0.3662420382165605
Aaron Nesmith,2024.0,90,199,109,0.45226130653266333
Aaron Wiggins,2022.0,42,138,96,0.30434782608695654
Aaron Wiggins,2023.0,48,122,74,0.39344262295081966
Aaron Wiggins,2024.0,27,50,23,0.54
Aaron Williams,2004.0,1,3,2,0.3333333333333333
Aaron Williams,2007.0,0,1,1,0.0
Abdel Nader,2018.0,23,69,46,0.3333333333333333
Abdel Nader,2019.0,32,100,68,0.32
Abdel Nader,2020.0,49,133,84,0.3684210526315789
Abdel Nader,2021.0,18,45,27,0.4
Abdel Nader,2022.0,4,14,10,0.2857142857142857
Acie Law,2008.0,7,34,27,0.20588235294117646
Acie Law,2009.0,10,32,22,0.3125
Acie Law,2010.0,5,16,11,0.3125
Acie Law,2011.0,6,36,30,0.16666666666666666
Adam Mokoka,2020.0,6,15,9,0.4
Adam Mokoka,2021.0,1,10,9,0.1
Adam Morrison,2007.0,87,258,171,0.3372093023255814
Adam Morrison,2009.0,32,96,64,0.3333333333333333
Adam Morrison,2010.0,5,23,18,0.21739130434782608
Adama Sanogo,2024.0,2,6,4,0.3333333333333333
Admiral Schofield,2020.0,19,60,41,0.31666666666666665
Admiral Schofield,2022.0,26,79,53,0.3291139240506329
Admiral Schofield,2023.0,24,74,50,0.32432432432432434
Admiral Schofield,2024.0,2,9,7,0.2222222222222222
Adonis Thomas,2014.0,1,5,4,0.2
Adreian Payne,2015.0,1,9,8,0.1111111111111111
Adreian Payne,2016.0,9,32,23,0.28125
Adreian Payne,2017.0,3,15,12,0.2
Adreian Payne,2018.0,2,3,1,0.6666666666666666
Adrian Griffin,2004.0,1,2,1,0.5
Adrian Griffin,2005.0,2,9,7,0.2222222222222222
Adrian Griffin,2006.0,0,2,2,0.0
Adrian Griffin,2007.0,0,6,6,0.0
Al Harrington,2004.0,23,82,59,0.2804878048780488
Al Harrington,2005.0,16,74,58,0.21621621621621623
Al Harrington,2006.0,66,188,122,0.35106382978723405
Al Harrington,2007.0,142,331,189,0.42900302114803623
Al Harrington,2008.0,153,408,255,0.375
Al Harrington,2009.0,171,470,299,0.3638297872340426
Al Harrington,2010.0,140,409,269,0.3422982885085575
Al Harrington,2011.0,122,338,216,0.3609467455621302
Al Harrington,2012.0,111,338,227,0.32840236686390534
Al Harrington,2013.0,8,30,22,0.26666666666666666
Al Harrington,2014.0,34,107,73,0.3177570093457944
Al Horford,2008.0,0,5,5,0.0
Al Horford,2009.0,0,2,2,0.0
Al Horford,2010.0,2,2,0,1.0
Al Horford,2011.0,2,6,4,0.3333333333333333
Al Horford,2012.0,0,1,1,0.0
Al Horford,2013.0,3,6,3,0.5
Al Horford,2014.0,4,11,7,0.36363636363636365
Al Horford,2015.0,13,45,32,0.28888888888888886
Al Horford,2016.0,99,284,185,0.3485915492957746
Al Horford,2017.0,113,293,180,0.3856655290102389
Al Horford,2018.0,112,269,157,0.4163568773234201
Al Horford,2019.0,91,247,156,0.3684210526315789
Al Horford,2020.0,99,287,188,0.34494773519163763
Al Horford,2021.0,56,152,96,0.3684210526315789
Al Horford,2022.0,136,363,227,0.3746556473829201
Al Horford,2023.0,173,419,246,0.4128878281622912
Al Horford,2024.0,61,149,88,0.40939597315436244
Al Jefferson,2005.0,0,3,3,0.0
Al Jefferson,2006.0,0,4,4,0.0
Al Jefferson,2007.0,0,1,1,0.0
Al Jefferson,2008.0,0,5,5,0.0
Al Jefferson,2009.0,0,4,4,0.0
Al Jefferson,2010.0,0,4,4,0.0
Al Jefferson,2012.0,1,5,4,0.2
Al Jefferson,2013.0,2,17,15,0.11764705882352941
Al Jefferson,2014.0,3,15,12,0.2
Al Jefferson,2015.0,2,5,3,0.4
Al Jefferson,2017.0,0,1,1,0.0
Al Jefferson,2018.0,0,3,3,0.0
Al Thornton,2008.0,43,130,87,0.33076923076923076
Al Thornton,2009.0,20,79,59,0.25316455696202533
Al Thornton,2010.0,11,31,20,0.3548387096774194
Al Thornton,2011.0,4,26,22,0.15384615384615385
Al-Farouq Aminu,2011.0,45,143,98,0.3146853146853147
Al-Farouq Aminu,2012.0,13,47,34,0.2765957446808511
Al-Farouq Aminu,2013.0,4,19,15,0.21052631578947367
Al-Farouq Aminu,2014.0,13,48,35,0.2708333333333333
Al-Farouq Aminu,2015.0,41,135,94,0.3037037037037037
Al-Farouq Aminu,2016.0,154,419,265,0.36754176610978523
Al-Farouq Aminu,2017.0,77,230,153,0.3347826086956522
Al-Farouq Aminu,2018.0,138,369,231,0.37398373983739835
Al-Farouq Aminu,2019.0,111,331,220,0.33534743202416917
Al-Farouq Aminu,2020.0,9,36,27,0.25
Al-Farouq Aminu,2021.0,8,37,29,0.21621621621621623
Alan Anderson,2006.0,22,54,32,0.4074074074074074
Alan Anderson,2007.0,5,20,15,0.25
Alan Anderson,2012.0,24,61,37,0.39344262295081966
Alan Anderson,2013.0,95,285,190,0.3333333333333333
Alan Anderson,2014.0,93,279,186,0.3333333333333333
Alan Anderson,2015.0,83,226,143,0.3672566371681416
Alan Anderson,2016.0,12,37,25,0.32432432432432434
Alan Anderson,2017.0,14,44,30,0.3181818181818182
Alan Henderson,2005.0,0,2,2,0.0
Alan Williams,2017.0,0,1,1,0.0
Alan Williams,2019.0,0,1,1,0.0
Alando Tucker,2008.0,1,4,3,0.25
Alando Tucker,2009.0,8,23,15,0.34782608695652173
Alando Tucker,2010.0,1,7,6,0.14285714285714285
Alec Burks,2012.0,15,47,32,0.3191489361702128
Alec Burks,2013.0,33,92,59,0.358695652173913
Alec Burks,2014.0,50,143,93,0.34965034965034963
Alec Burks,2015.0,26,68,42,0.38235294117647056
Alec Burks,2016.0,32,79,47,0.4050632911392405
Alec Burks,2017.0,25,76,51,0.32894736842105265
Alec Burks,2018.0,56,162,106,0.345679012345679
Alec Burks,2019.0,61,168,107,0.3630952380952381
Alec Burks,2020.0,119,317,198,0.3753943217665615
Alec Burks,2021.0,110,269,159,0.40892193308550184
Alec Burks,2022.0,157,389,232,0.40359897172236503
Alec Burks,2023.0,99,239,140,0.41422594142259417
Alec Burks,2024.0,91,227,136,0.4008810572687225
Alec Peters,2018.0,18,58,40,0.3103448275862069
Aleem Ford,2022.0,2,13,11,0.15384615384615385
Aleksej Pokusevski,2021.0,58,207,149,0.28019323671497587
Aleksej Pokusevski,2022.0,57,197,140,0.2893401015228426
Aleksej Pokusevski,2023.0,38,104,66,0.36538461538461536
Aleksej Pokusevski,2024.0,1,9,8,0.1111111111111111
Alen Smailagic,2020.0,3,13,10,0.23076923076923078
Alen Smailagic,2021.0,4,10,6,0.4
Alex Abrines,2017.0,99,264,165,0.375
Alex Abrines,2018.0,90,234,144,0.38461538461538464
Alex Abrines,2019.0,41,127,86,0.3228346456692913
Alex Acker,2006.0,1,5,4,0.2
Alex Acker,2009.0,7,20,13,0.35
Alex Caruso,2018.0,13,43,30,0.3023255813953488
Alex Caruso,2019.0,24,50,26,0.48
Alex Caruso,2020.0,57,181,124,0.3149171270718232
Alex Caruso,2021.0,62,157,95,0.39490445859872614
Alex Caruso,2022.0,49,145,96,0.33793103448275863
Alex Caruso,2023.0,55,151,96,0.36423841059602646
Alex Caruso,2024.0,73,176,103,0.4147727272727273
Alex Fudge,2024.0,0,2,2,0.0
Alex Garcia,2005.0,5,18,13,0.2777777777777778
Alex Len,2015.0,1,3,2,0.3333333333333333
Alex Len,2016.0,1,7,6,0.14285714285714285
Alex Len,2017.0,3,12,9,0.25
Alex Len,2018.0,1,3,2,0.3333333333333333
Alex Len,2019.0,74,204,130,0.3627450980392157
Alex Len,2020.0,16,59,43,0.2711864406779661
Alex Len,2021.0,8,25,17,0.32
Alex Len,2022.0,6,21,15,0.2857142857142857
Alex Len,2023.0,0,2,2,0.0
Alex Len,2024.0,0,2,2,0.0
Alex Poythress,2017.0,6,19,13,0.3157894736842105
Alex Poythress,2018.0,4,11,7,0.36363636363636365
Alex Poythress,2019.0,9,23,14,0.391304347826087
Alexey Shved,2013.0,85,288,203,0.2951388888888889
Alexey Shved,2014.0,30,102,72,0.29411764705882354
Alexey Shved,2015.0,47,139,92,0.3381294964028777
Alexis Ajinca,2009.0,0,2,2,0.0
Alexis Ajinca,2011.0,12,34,22,0.35294117647058826
Alexis Ajinca,2014.0,0,1,1,0.0
Alexis Ajinca,2016.0,0,1,1,0.0
Alexis Ajinca,2017.0,0,4,4,0.0
Alfonzo McKinnie,2018.0,3,9,6,0.3333333333333333
Alfonzo McKinnie,2019.0,52,150,98,0.3466666666666667
Alfonzo McKinnie,2020.0,14,65,51,0.2153846153846154
Alfonzo McKinnie,2021.0,16,41,25,0.3902439024390244
Alfonzo McKinnie,2022.0,9,27,18,0.3333333333333333
Alize Johnson,2019.0,1,2,1,0.5
Alize Johnson,2020.0,3,8,5,0.375
Alize Johnson,2021.0,1,6,5,0.16666666666666666
Alize Johnson,2022.0,0,3,3,0.0
Alize Johnson,2023.0,0,2,2,0.0
Allan Houston,2004.0,87,202,115,0.4306930693069307
Allan Houston,2005.0,31,80,49,0.3875
Allan Ray,2007.0,48,116,68,0.41379310344827586
Allen Crabbe,2014.0,6,14,8,0.42857142857142855
Allen Crabbe,2015.0,32,87,55,0.367816091954023
Allen Crabbe,2016.0,127,320,193,0.396875
Allen Crabbe,2017.0,137,315,178,0.43492063492063493
Allen Crabbe,2018.0,201,532,331,0.37781954887218044
Allen Crabbe,2019.0,98,259,161,0.3783783783783784
Allen Crabbe,2020.0,36,119,83,0.3025210084033613
Allen Iverson,2004.0,54,188,134,0.2872340425531915
Allen Iverson,2005.0,116,367,251,0.31607629427792916
Allen Iverson,2006.0,72,223,151,0.32286995515695066
Allen Iverson,2007.0,67,214,147,0.3130841121495327
Allen Iverson,2008.0,98,289,191,0.3391003460207612
Allen Iverson,2009.0,28,99,71,0.2828282828282828
Allen Iverson,2010.0,9,25,16,0.36
Allonzo Trier,2019.0,52,132,80,0.3939393939393939
Allonzo Trier,2020.0,19,53,34,0.3584905660377358
Alonzo Gee,2010.0,7,9,2,0.7777777777777778
Alonzo Gee,2011.0,17,51,34,0.3333333333333333
Alonzo Gee,2012.0,44,137,93,0.32116788321167883
Alonzo Gee,2013.0,69,219,150,0.3150684931506849
Alonzo Gee,2014.0,19,58,39,0.3275862068965517
Alonzo Gee,2015.0,13,35,22,0.37142857142857144
Alonzo Gee,2016.0,17,60,43,0.2833333333333333
Alonzo Gee,2017.0,0,3,3,0.0
Alonzo Mourning,2006.0,0,1,1,0.0
Alperen Sengun,2022.0,29,117,88,0.24786324786324787
Alperen Sengun,2023.0,19,57,38,0.3333333333333333
Alperen Sengun,2024.0,25,88,63,0.2840909090909091
Alvin Williams,2004.0,26,89,63,0.29213483146067415
Alvin Williams,2006.0,0,2,2,0.0
Alvin Williams,2007.0,0,1,1,0.0
Amal McCaskill,2004.0,0,1,1,0.0
Amar'e Stoudemire,2004.0,1,5,4,0.2
Amar'e Stoudemire,2005.0,3,19,16,0.15789473684210525
Amar'e Stoudemire,2006.0,0,1,1,0.0
Amar'e Stoudemire,2007.0,1,6,5,0.16666666666666666
Amar'e Stoudemire,2008.0,6,35,29,0.17142857142857143
Amar'e Stoudemire,2009.0,3,7,4,0.42857142857142855
Amar'e Stoudemire,2010.0,1,10,9,0.1
Amar'e Stoudemire,2011.0,10,23,13,0.43478260869565216
Amar'e Stoudemire,2012.0,5,21,16,0.23809523809523808
Amar'e Stoudemire,2013.0,1,1,0,1.0
Amar'e Stoudemire,2015.0,0,4,4,0.0
Amari Bailey,2024.0,0,2,2,0.0
Amen Thompson,2024.0,5,29,24,0.1724137931034483
Amir Coffey,2020.0,6,20,14,0.3
Amir Coffey,2021.0,24,57,33,0.42105263157894735
Amir Coffey,2022.0,96,255,159,0.3764705882352941
Amir Coffey,2023.0,11,40,29,0.275
Amir Coffey,2024.0,21,53,32,0.39622641509433965
Amir Johnson,2006.0,2,3,1,0.6666666666666666
Amir Johnson,2007.0,0,3,3,0.0
Amir Johnson,2008.0,0,1,1,0.0
Amir Johnson,2010.0,0,4,4,0.0
Amir Johnson,2011.0,0,1,1,0.0
Amir Johnson,2012.0,2,5,3,0.4
Amir Johnson,2013.0,5,13,8,0.38461538461538464
Amir Johnson,2014.0,20,68,48,0.29411764705882354
Amir Johnson,2015.0,19,47,28,0.40425531914893614
Amir Johnson,2016.0,10,45,35,0.2222222222222222
Amir Johnson,2017.0,28,69,41,0.4057971014492754
Amir Johnson,2018.0,10,32,22,0.3125
Amir Johnson,2019.0,12,40,28,0.3
Anderson Varejao,2005.0,0,2,2,0.0
Anderson Varejao,2006.0,0,1,1,0.0
Anderson Varejao,2007.0,0,13,13,0.0
Anderson Varejao,2008.0,0,2,2,0.0
Anderson Varejao,2009.0,0,2,2,0.0
Anderson Varejao,2010.0,1,6,5,0.16666666666666666
Anderson Varejao,2011.0,0,2,2,0.0
Anderson Varejao,2012.0,0,4,4,0.0
Anderson Varejao,2013.0,0,5,5,0.0
Anderson Varejao,2014.0,0,7,7,0.0
Anderson Varejao,2015.0,0,2,2,0.0
Anderson Varejao,2016.0,0,1,1,0.0
Anderson Varejao,2021.0,0,1,1,0.0
Andray Blatche,2006.0,3,13,10,0.23076923076923078
Andray Blatche,2007.0,4,27,23,0.14814814814814814
Andray Blatche,2008.0,3,14,11,0.21428571428571427
Andray Blatche,2009.0,5,21,16,0.23809523809523808
Andray Blatche,2010.0,13,44,31,0.29545454545454547
Andray Blatche,2011.0,4,18,14,0.2222222222222222
Andray Blatche,2012.0,2,7,5,0.2857142857142857
Andray Blatche,2013.0,3,22,19,0.13636363636363635
Andray Blatche,2014.0,15,56,41,0.26785714285714285
Andre Barrett,2005.0,14,52,38,0.2692307692307692
Andre Barrett,2006.0,2,14,12,0.14285714285714285
Andre Barrett,2008.0,1,3,2,0.3333333333333333
Andre Brown,2007.0,0,1,1,0.0
Andre Dawkins,2015.0,1,6,5,0.16666666666666666
Andre Drummond,2013.0,1,2,1,0.5
Andre Drummond,2014.0,0,2,2,0.0
Andre Drummond,2015.0,0,2,2,0.0
Andre Drummond,2016.0,2,7,5,0.2857142857142857
Andre Drummond,2017.0,2,7,5,0.2857142857142857
Andre Drummond,2018.0,0,11,11,0.0
Andre Drummond,2019.0,5,39,34,0.1282051282051282
Andre Drummond,2020.0,5,35,30,0.14285714285714285
Andre Drummond,2021.0,0,8,8,0.0
Andre Drummond,2022.0,0,3,3,0.0
Andre Drummond,2023.0,0,3,3,0.0
Andre Drummond,2024.0,0,2,2,0.0
Andre Emmett,2012.0,0,1,1,0.0
Andre Iguodala,2005.0,50,151,101,0.33112582781456956
Andre Iguodala,2006.0,56,158,102,0.35443037974683544
Andre Iguodala,2007.0,48,155,107,0.3096774193548387
Andre Iguodala,2008.0,103,319,216,0.322884012539185
Andre Iguodala,2009.0,91,289,198,0.314878892733564
Andre Iguodala,2010.0,94,303,209,0.3102310231023102
Andre Iguodala,2011.0,64,195,131,0.3282051282051282
Andre Iguodala,2012.0,95,242,147,0.3925619834710744
Andre Iguodala,2013.0,105,316,211,0.3322784810126582
Andre Iguodala,2014.0,70,190,120,0.3684210526315789
Andre Iguodala,2015.0,103,294,191,0.35034013605442177
Andre Iguodala,2016.0,79,219,140,0.3607305936073059
Andre Iguodala,2017.0,72,219,147,0.3287671232876712
Andre Iguodala,2018.0,47,154,107,0.3051948051948052
Andre Iguodala,2019.0,76,224,148,0.3392857142857143
Andre Iguodala,2020.0,28,86,58,0.32558139534883723
Andre Iguodala,2021.0,63,190,127,0.33157894736842103
Andre Iguodala,2022.0,18,77,59,0.23376623376623376
Andre Iguodala,2023.0,1,9,8,0.1111111111111111
Andre Ingram,2018.0,5,9,4,0.5555555555555556
Andre Ingram,2019.0,0,3,3,0.0
Andre Jackson,2024.0,13,31,18,0.41935483870967744
Andre Miller,2004.0,12,67,55,0.1791044776119403
Andre Miller,2005.0,8,43,35,0.18604651162790697
Andre Miller,2006.0,5,27,22,0.18518518518518517
Andre Miller,2007.0,5,35,30,0.14285714285714285
Andre Miller,2008.0,2,36,34,0.05555555555555555
Andre Miller,2009.0,18,63,45,0.2857142857142857
Andre Miller,2010.0,19,87,68,0.21839080459770116
Andre Miller,2011.0,8,47,39,0.1702127659574468
Andre Miller,2012.0,22,90,68,0.24444444444444444
Andre Miller,2013.0,22,75,53,0.29333333333333333
Andre Miller,2014.0,12,24,12,0.5
Andre Miller,2015.0,7,34,27,0.20588235294117646
Andre Miller,2016.0,3,11,8,0.2727272727272727
Andre Owens,2006.0,3,16,13,0.1875
Andre Owens,2008.0,18,40,22,0.45
Andre Roberson,2014.0,2,13,11,0.15384615384615385
Andre Roberson,2015.0,21,85,64,0.24705882352941178
Andre Roberson,2016.0,44,140,96,0.3142857142857143
Andre Roberson,2017.0,52,200,148,0.26
Andre Roberson,2018.0,8,36,28,0.2222222222222222
Andre Roberson,2020.0,3,15,12,0.2
Andre Roberson,2021.0,1,8,7,0.125
Andrea Bargnani,2007.0,107,285,178,0.37543859649122807
Andrea Bargnani,2008.0,94,277,183,0.33935018050541516
Andrea Bargnani,2009.0,119,291,172,0.40893470790378006
Andrea Bargnani,2010.0,121,325,204,0.3723076923076923
Andrea Bargnani,2011.0,77,223,146,0.3452914798206278
Andrea Bargnani,2012.0,34,115,81,0.2956521739130435
Andrea Bargnani,2013.0,38,123,85,0.3089430894308943
Andrea Bargnani,2014.0,30,108,78,0.2777777777777778
Andrea Bargnani,2015.0,15,41,26,0.36585365853658536
Andrea Bargnani,2016.0,3,16,13,0.1875
Andrei Kirilenko,2004.0,68,201,133,0.3383084577114428
Andrei Kirilenko,2005.0,23,77,54,0.2987012987012987
Andrei Kirilenko,2006.0,36,117,81,0.3076923076923077
Andrei Kirilenko,2007.0,19,84,65,0.2261904761904762
Andrei Kirilenko,2008.0,49,138,89,0.35507246376811596
Andrei Kirilenko,2009.0,21,78,57,0.2692307692307692
Andrei Kirilenko,2010.0,26,90,64,0.28888888888888886
Andrei Kirilenko,2011.0,36,98,62,0.3673469387755102
Andrei Kirilenko,2013.0,35,120,85,0.2916666666666667
Andrei Kirilenko,2014.0,1,5,4,0.2
Andres Nocioni,2005.0,31,114,83,0.2719298245614035
Andres Nocioni,2006.0,103,259,156,0.39768339768339767
Andres Nocioni,2007.0,93,248,155,0.375
Andres Nocioni,2008.0,126,346,220,0.36416184971098264
Andres Nocioni,2009.0,124,311,187,0.3987138263665595
Andres Nocioni,2010.0,96,249,153,0.3855421686746988
Andres Nocioni,2011.0,42,120,78,0.35
Andres Nocioni,2012.0,1,6,5,0.16666666666666666
Andrew Bogut,2006.0,0,3,3,0.0
Andrew Bogut,2007.0,1,5,4,0.2
Andrew Bogut,2008.0,0,7,7,0.0
Andrew Bogut,2010.0,0,2,2,0.0
Andrew Bogut,2011.0,0,4,4,0.0
Andrew Bogut,2012.0,0,1,1,0.0
Andrew Bogut,2013.0,1,1,0,1.0
Andrew Bogut,2015.0,0,1,1,0.0
Andrew Bogut,2016.0,1,3,2,0.3333333333333333
Andrew Bogut,2017.0,0,1,1,0.0
Andrew Bynum,2007.0,0,3,3,0.0
Andrew Bynum,2010.0,0,1,1,0.0
Andrew Bynum,2012.0,1,5,4,0.2
Andrew Goudelock,2012.0,29,76,47,0.3815789473684211
Andrew Goudelock,2013.0,2,10,8,0.2
Andrew Goudelock,2016.0,1,10,9,0.1
Andrew Harrison,2017.0,47,166,119,0.28313253012048195
Andrew Harrison,2018.0,47,142,95,0.33098591549295775
Andrew Harrison,2019.0,5,25,20,0.2
Andrew Nembhard,2023.0,92,263,171,0.34980988593155893
Andrew Nembhard,2024.0,24,71,47,0.3380281690140845
Andrew Nicholson,2014.0,28,89,61,0.3146067415730337
Andrew Nicholson,2015.0,13,41,28,0.3170731707317073
Andrew Nicholson,2016.0,41,114,73,0.35964912280701755
Andrew Nicholson,2017.0,5,27,22,0.18518518518518517
Andrew White,2018.0,18,49,31,0.3673469387755102
Andrew Wiggins,2015.0,39,126,87,0.30952380952380953
Andrew Wiggins,2016.0,57,190,133,0.3
Andrew Wiggins,2017.0,103,288,185,0.3576388888888889
Andrew Wiggins,2018.0,119,359,240,0.33147632311977715
Andrew Wiggins,2019.0,118,348,230,0.3390804597701149
Andrew Wiggins,2020.0,111,334,223,0.3323353293413174
Andrew Wiggins,2021.0,142,377,235,0.376657824933687
Andrew Wiggins,2022.0,192,504,312,0.38095238095238093
Andrew Wiggins,2023.0,108,289,181,0.3737024221453287
Andrew Wiggins,2024.0,39,126,87,0.30952380952380953
Andris Biedrins,2005.0,0,1,1,0.0
Andris Biedrins,2009.0,0,1,1,0.0
Andy Rautins,2011.0,1,4,3,0.25
Anfernee Hardaway,2004.0,35,93,58,0.3763440860215054
Anfernee Hardaway,2005.0,15,50,35,0.3
Anfernee Hardaway,2006.0,0,1,1,0.0
Anfernee Hardaway,2008.0,8,19,11,0.42105263157894735
Anfernee Simons,2019.0,10,31,21,0.3225806451612903
Anfernee Simons,2020.0,81,240,159,0.3375
Anfernee Simons,2021.0,131,299,168,0.43812709030100333
Anfernee Simons,2022.0,179,442,263,0.40497737556561086
Anfernee Simons,2023.0,212,562,350,0.37722419928825623
Anfernee Simons,2024.0,82,209,127,0.3923444976076555
Ansu Sesay,2004.0,6,21,15,0.2857142857142857
Ansu Sesay,2005.0,2,8,6,0.25
Antawn Jamison,2004.0,17,47,30,0.3617021276595745
Antawn Jamison,2005.0,88,242,154,0.36363636363636365
Antawn Jamison,2006.0,152,397,245,0.38287153652392947
Antawn Jamison,2007.0,147,405,258,0.362962962962963
Antawn Jamison,2008.0,127,379,252,0.33509234828496043
Antawn Jamison,2009.0,112,319,207,0.3510971786833856
Antawn Jamison,2010.0,95,286,191,0.3321678321678322
Antawn Jamison,2011.0,91,263,172,0.34600760456273766
Antawn Jamison,2012.0,91,267,176,0.3408239700374532
Antawn Jamison,2013.0,89,245,156,0.363265306122449
Antawn Jamison,2014.0,8,41,33,0.1951219512195122
Anthony Bennett,2014.0,13,53,40,0.24528301886792453
Anthony Bennett,2015.0,7,23,16,0.30434782608695654
Anthony Bennett,2016.0,3,14,11,0.21428571428571427
Anthony Bennett,2017.0,13,48,35,0.2708333333333333
Anthony Black,2024.0,15,48,33,0.3125
Anthony Brown,2016.0,20,70,50,0.2857142857142857
Anthony Brown,2017.0,7,27,20,0.25925925925925924
Anthony Brown,2018.0,1,1,0,1.0
Anthony Carter,2004.0,0,3,3,0.0
Anthony Carter,2005.0,2,17,15,0.11764705882352941
Anthony Carter,2006.0,4,15,11,0.26666666666666666
Anthony Carter,2007.0,0,2,2,0.0
Anthony Carter,2008.0,45,134,89,0.3358208955223881
Anthony Carter,2009.0,23,100,77,0.23
Anthony Carter,2010.0,17,63,46,0.2698412698412698
Anthony Carter,2011.0,13,43,30,0.3023255813953488
Anthony Carter,2012.0,5,17,12,0.29411764705882354
Anthony Davis,2013.0,0,6,6,0.0
Anthony Davis,2014.0,2,9,7,0.2222222222222222
Anthony Davis,2015.0,1,14,13,0.07142857142857142
Anthony Davis,2016.0,35,108,73,0.32407407407407407
Anthony Davis,2017.0,40,134,94,0.29850746268656714
Anthony Davis,2018.0,61,184,123,0.33152173913043476
Anthony Davis,2019.0,48,145,97,0.3310344827586207
Anthony Davis,2020.0,95,278,183,0.34172661870503596
Anthony Davis,2021.0,29,117,88,0.24786324786324787
Anthony Davis,2022.0,13,70,57,0.18571428571428572
Anthony Davis,2023.0,24,89,65,0.2696629213483146
Anthony Davis,2024.0,14,51,37,0.27450980392156865
Anthony Edwards,2021.0,171,520,349,0.32884615384615384
Anthony Edwards,2022.0,238,659,421,0.3611532625189681
Anthony Edwards,2023.0,228,622,394,0.3665594855305466
Anthony Edwards,2024.0,107,277,170,0.3862815884476534
Anthony Gill,2021.0,9,27,18,0.3333333333333333
Anthony Gill,2022.0,14,26,12,0.5384615384615384
Anthony Gill,2023.0,4,29,25,0.13793103448275862
Anthony Gill,2024.0,2,11,9,0.18181818181818182
Anthony Goldwire,2004.0,2,8,6,0.25
Anthony Goldwire,2005.0,32,80,48,0.4
Anthony Goldwire,2006.0,0,2,2,0.0
Anthony Grundy,2006.0,5,15,10,0.3333333333333333
Anthony Johnson,2004.0,47,142,95,0.33098591549295775
Anthony Johnson,2005.0,49,131,82,0.37404580152671757
Anthony Johnson,2006.0,59,175,116,0.33714285714285713
Anthony Johnson,2007.0,25,73,48,0.3424657534246575
Anthony Johnson,2008.0,42,93,51,0.45161290322580644
Anthony Johnson,2009.0,61,163,102,0.37423312883435583
Anthony Johnson,2010.0,13,40,27,0.325
Anthony Lamb,2021.0,21,63,42,0.3333333333333333
Anthony Lamb,2022.0,0,2,2,0.0
Anthony Lamb,2023.0,74,203,129,0.3645320197044335
Anthony Morrow,2009.0,86,184,98,0.4673913043478261
Anthony Morrow,2010.0,140,307,167,0.4560260586319218
